Filename,ASSAT,ASSAT_pi,ASSAT_pi_Act,ASSAT_pi_ActT,,,
 e_6_2_6.apx,128.03,57.02,37.18,41.48,,,
 e_6_2_7.apx,204.02,60.09,41.29,90.05,,,
 e_6_2_8.apx,141.14,57.19,43.11,66.17,,,
 e_6_2_9.apx,174.02,68.27,48.27,107.39,,,
 e_6_3_10.apx,181.14,61.25,73.63,111.03,,,
 e_6_4_10.apx,129.13,65.35,79.08,109.44,,,
 e_6_4_6.apx,187.03,60.33,46.38,102.15,,,
 e_6_4_7.apx,89.05,70.82,50.14,109.29,,,
 e_6_4_8.apx,169.27,68.27,52.44,109.38,,,
 e_6_4_9.apx,176.34,58.34,74.18,114.22,,,
 e_6_5_10.apx,128.32,68.33,47.22,118.53,,,
 e_6_6_10.apx,142.05,69.47,44.04,245.74,,,
 e_6_6_6.apx,135.38,64.22,82.29,114.27,,,
 e_6_6_7.apx,173.19,42.11,77.22,122.16,,,
 e_6_6_8.apx,90.52,69.04,66.41,115.39,,,
